2 0.223556 0.223547
2.01 0.222535 0.222526
2.02 0.221521 0.221512
2.03 0.220516 0.220507
2.04 0.219518 0.219509
2.05 0.218528 0.218519
2.06 0.217545 0.217536
2.07 0.21657 0.216561
2.08 0.215602 0.215593
2.09 0.214642 0.214633
2.1 0.213689 0.21368
2.11 0.212743 0.212734
2.12 0.211804 0.211796
2.13 0.210873 0.210864
2.14 0.209948 0.209939
2.15 0.20903 0.209022
2.16 0.208119 0.208111
2.17 0.207215 0.207207
2.18 0.206318 0.206309
2.19 0.205427 0.205419
2.2 0.204543 0.204534
2.21 0.203665 0.203657
2.22 0.202794 0.202786
2.23 0.201929 0.201921
2.24 0.201071 0.201062
2.25 0.200218 0.20021
2.26 0.199372 0.199364
2.27 0.198532 0.198524
2.28 0.197698 0.19769
2.29 0.196871 0.196863
2.3 0.196049 0.196041
2.31 0.195233 0.195225
2.32 0.194423 0.194415
2.33 0.193618 0.19361
2.34 0.19282 0.192812
2.35 0.192027 0.192019
2.36 0.19124 0.191232
2.37 0.190458 0.19045
2.38 0.189682 0.189674
2.39 0.188911 0.188903
2.4 0.188146 0.188138
2.41 0.187386 0.187378
2.42 0.186631 0.186624
2.43 0.185882 0.185874
2.44 0.185138 0.18513
2.45 0.184399 0.184391
2.46 0.183665 0.183657
2.47 0.182936 0.182929
2.48 0.182212 0.182205
2.49 0.181493 0.181486
2.5 0.18078 0.180772
2.51 0.180071 0.180063
2.52 0.179367 0.179359
2.53 0.178667 0.17866
2.54 0.177973 0.177965
2.55 0.177283 0.177276
2.56 0.176598 0.17659
2.57 0.175917 0.17591
2.58 0.175241 0.175234
2.59 0.174569 0.174562
2.6 0.173903 0.173896
2.61 0.17324 0.173233
2.62 0.172582 0.172575
2.63 0.171928 0.171921
2.64 0.171279 0.171272
2.65 0.170634 0.170627
2.66 0.169993 0.169986
2.67 0.169356 0.16935
2.68 0.168724 0.168717
2.69 0.168096 0.168089
2.7 0.167472 0.167465
2.71 0.166852 0.166845
2.72 0.166236 0.166229
2.73 0.165624 0.165617
2.74 0.165016 0.165009
2.75 0.164412 0.164405
2.76 0.163811 0.163805
2.77 0.163215 0.163209
2.78 0.162623 0.162616
2.79 0.162034 0.162028
2.8 0.161449 0.161443
2.81 0.160868 0.160862
2.82 0.16029 0.160284
2.83 0.159717 0.15971
2.84 0.159147 0.15914
2.85 0.15858 0.158574
2.86 0.158017 0.158011
2.87 0.157458 0.157451
2.88 0.156902 0.156896
2.89 0.156349 0.156343
2.9 0.1558 0.155794
2.91 0.155255 0.155249
2.92 0.154713 0.154707
2.93 0.154174 0.154168
2.94 0.153639 0.153633
2.95 0.153107 0.153101
2.96 0.152578 0.152572
2.97 0.152052 0.152046
2.98 0.15153 0.151524
2.99 0.151011 0.151005
3 0.150495 0.150489
3.01 0.149982 0.149976
3.02 0.149473 0.149467
3.03 0.148966 0.14896
3.04 0.148463 0.148457
3.05 0.147962 0.147957
3.06 0.147465 0.147459
3.07 0.146971 0.146965
3.08 0.146479 0.146474
3.09 0.145991 0.145985
3.1 0.145505 0.1455
3.11 0.145023 0.145017
3.12 0.144543 0.144537
3.13 0.144066 0.144061
3.14 0.143592 0.143587
3.15 0.143121 0.143115
3.16 0.142652 0.142647
3.17 0.142187 0.142181
3.18 0.141724 0.141718
3.19 0.141264 0.141258
3.2 0.140806 0.140801
3.21 0.140351 0.140346
